iter	Passed	Remaining
568	7425	5624
569	7439	5612
570	7453	5599
571	7466	5587
572	7481	5574
573	7494	5562
574	7507	5549
575	7521	5536
576	7536	5525
577	7550	5512
578	7563	5499
579	7578	5487
580	7593	5475
581	7607	5463
582	7621	5451
583	7634	5438
584	7648	5425
585	7661	5413
586	7676	5400
587	7690	5388
588	7702	5374
589	7714	5361
590	7726	5347
591	7739	5333
592	7751	5320
593	7763	5306
594	7777	5293
595	7789	5279
596	7801	5266
597	7813	5252
598	7825	5238
599	7838	5225
600	7851	5212
601	7862	5198
602	7874	5184
603	7887	5171
604	7900	5157
605	7911	5144
606	7924	5130
607	7936	5117
608	7948	5103
609	7960	5089
610	7974	5076
611	7986	5063
612	7998	5049
613	8010	5036
614	8023	5023
615	8037	5010
616	8049	4996
617	8063	4983
618	8075	4970
619	8087	4956
620	8099	4943
621	8112	4930
622	8125	4916
623	8137	4903
624	8149	4889
625	8161	4876
626	8175	4863
627	8187	4850
628	8201	4837
629	8213	4823
630	8226	4810
631	8240	4798
632	8252	4784
633	8265	4771
634	8278	4758
635	8291	4745
636	8303	4731
637	8316	4718
638	8328	4705
639	8342	4692
640	8354	4679
641	8368	4666
642	8380	4652
643	8393	4639
644	8406	4626
645	8418	4613
646	8430	4599
647	8443	4586
648	8456	4573
649	8469	4560
650	8481	4546
651	8493	4533
652	8506	4520
653	8518	4506
654	8531	4493
655	8543	4480
656	8555	4466
657	8568	4453
658	8580	4440
659	8592	4426
660	8604	4412
661	8616	4399
662	8627	4385
663	8639	4371
664	8651	4358
665	8664	4345
666	8676	4331
667	8689	4318
668	8702	4305
669	8715	4292
670	8728	4279
671	8741	4266
672	8753	4253
673	8766	4240
674	8780	4227
675	8792	4214
676	8805	4201
677	8817	4187
678	8830	4174
679	8843	4161
680	8857	4149
681	8870	4136
682	8885	4123
683	8899	4111
684	8912	4098
685	8926	4085
686	8940	4073
687	8954	4060
688	8969	4048
689	8983	4036
690	8997	4023
691	9011	4010
692	9025	3998
693	9042	3987
694	9058	3975
695	9073	3963
696	9088	3951
697	9103	3938
698	9117	3926
699	9132	3913
700	9146	3901
701	9162	3889
702	9176	3876
703	9190	3864
704	9204	3851
705	9218	3838
706	9233	3826
707	9248	3814
708	9264	3802
709	9278	3789
710	9293	3777
711	9308	3765
712	9323	3752
713	9339	3740
714	9353	3728
715	9369	3716
716	9383	3703
717	9398	3691
718	9412	3678
719	9427	3666
720	9441	3653
721	9455	3640
722	9469	3628
723	9483	3615
724	9497	3602
725	9511	3589
726	9525	3576
727	9538	3563
728	9551	3550
729	9565	3538
730	9578	3524
731	9591	3511
732	9604	3498
733	9617	3485
734	9630	3472
735	9644	3459
736	9658	3446
737	9672	3433
738	9686	3420
739	9701	3408
740	9714	3395
741	9726	3382
742	9740	3369
743	9754	3356
744	9769	3343
745	9783	3330
746	9796	3318
747	9811	3305
748	9825	3292
749	9837	3279
750	9851	3266
751	9865	3253
752	9878	3240
753	9891	3227
754	9904	3213
755	9917	3200
756	9930	3187
757	9944	3174
758	9957	3161
759	9971	3148
760	9984	3135
761	9997	3122
762	10010	3109
763	10022	3095
764	10035	3082
765	10051	3070
766	10066	3058
767	10079	3044
768	10092	3031
769	10105	3018
770	10118	3005
771	10131	2992
772	10144	2978
773	10157	2965
774	10170	2952
775	10182	2939
776	10194	2925
777	10207	2912
778	10219	2899
779	10232	2886
780	10245	2873
781	10259	2860
782	10271	2846
783	10284	2833
784	10296	2819
785	10309	2806
786	10322	2793
787	10335	2780
788	10347	2767
789	10361	2754
790	10374	2741
791	10387	2728
792	10400	2714
793	10413	2701
794	10426	2688
795	10438	2675
796	10452	2662
797	10466	2649
798	10480	2636
799	10495	2623
800	10508	2610
801	10522	2597
802	10536	2584
803	10549	2571
804	10564	2559
805	10577	2546
806	10591	2532
807	10604	2519
808	10617	2506
809	10630	2493
810	10643	2480
811	10656	2467
812	10669	2454
813	10683	2441
814	10697	2428
815	10711	2415
816	10725	2402
817	10738	2389
818	10751	2376
819	10765	2363
820	10778	2350
821	10792	2337
822	10804	2323
823	10817	2310
824	10830	2297
825	10843	2284
826	10856	2271
827	10869	2257
828	10882	2244
829	10895	2231
830	10908	2218
831	10920	2205
832	10934	2192
833	10948	2179
834	10962	2166
835	10975	2153
836	10988	2139
837	11000	2126
838	11013	2113
839	11026	2100
840	11038	2087
841	11051	2073
842	11069	2061
843	11084	2048
844	11097	2035
845	11109	2022
846	11122	2009
847	11134	1995
848	11147	1982
849	11161	1969
850	11174	1956
851	11186	1943
852	11198	1929
853	11211	1916
854	11224	1903
855	11237	1890
856	11250	1877
857	11263	1864
858	11275	1850
859	11288	1837
860	11301	1824
861	11314	1811
862	11327	1798
863	11340	1785
864	11353	1771
865	11365	1758
866	11377	1745
867	11390	1732
868	11404	1719
869	11416	1705
870	11430	1692
871	11444	1679
872	11457	1666
873	11470	1653
874	11483	1640
875	11495	1627
876	11508	1614
877	11521	1600
878	11534	1587
879	11546	1574
880	11559	1561
881	11572	1548
882	11584	1535
883	11596	1521
884	11609	1508
885	11621	1495
886	11633	1482
887	11645	1468
888	11659	1455
889	11672	1442
890	11684	1429
891	11697	1416
892	11711	1403
893	11723	1390
894	11735	1376
895	11748	1363
896	11760	1350
897	11774	1337
898	11787	1324
899	11799	1311
900	11812	1297
901	11824	1284
902	11837	1271
903	11850	1258
904	11863	1245
905	11876	1232
906	11889	1219
907	11902	1206
908	11916	1192
909	11929	1179
910	11941	1166
911	11954	1153
912	11966	1140
913	11979	1127
914	11992	1114
915	12005	1100
916	12018	1087
917	12031	1074
918	12043	1061
919	12058	1048
920	12073	1035
921	12089	1022
922	12106	1010
923	12121	997
924	12134	983
925	12149	970
926	12163	957
927	12176	944
928	12190	931
929	12203	918
930	12217	905
931	12229	892
932	12243	879
933	12256	866
934	12270	853
935	12284	839
936	12298	826
937	12311	813
938	12324	800
939	12337	787
940	12351	774
941	12364	761
942	12378	748
943	12391	735
944	12405	722
945	12418	708
946	12431	695
947	12445	682
948	12458	669
949	12474	656
950	12488	643
951	12502	630
952	12516	617
953	12531	604
954	12545	591
955	12564	578
956	12580	565
957	12595	552
958	12609	539
959	12623	525
960	12637	512
961	12651	499
962	12664	486
963	12677	473
964	12691	460
965	12704	447
966	12717	434
967	12731	420
968	12744	407
969	12758	394
970	12773	381
971	12788	368
972	12802	355
973	12816	342
974	12829	328
975	12845	315
976	12859	302
977	12872	289
978	12885	276
979	12898	263
980	12911	250
981	12922	236
982	12935	223
983	12948	210
984	12961	197
985	12974	184
986	12986	171
987	12998	157
988	13011	144
989	13024	131
990	13036	118
991	13049	105
992	13062	92
993	13075	78
994	13089	65
995	13103	52
996	13115	39
997	13129	26
998	13142	13
999	13156	0
